year,no,instruction,input,result,isAnswerable,isMultipleChoice,isSingleChoiceSolution
2020,11,"ฟังก์ชันแสดงความสูงของต้นไม้ต้นหนึ่ง มีหน่วยเป็นเมตร ในช่วงอายุตั้งแต่
5 ปี ถึง 10 ปี เป็นฟังก์ชันเชิงเส้น
ถ้าต้นไม้นี้เมื่ออายุ 10 ปี สูงกว่าเมื่ออายุ 5 ปี อยู่ 7.5 เมตร
แล้วต้นไม้ นี้เมื่ออายุ 9 ปี สูงกว่าเมื่ออายุ 6 ปี อยู่กี่เมตร","1. 2.25 เมตร
2. 3 เมตร
3. 4.5 เมตร
4. 5.5 เมตร
5. 6 เมตร",3. 4.5 เมตร,TRUE,TRUE,TRUE
2020,12,"นักสถิติคาดการณ์จำนวนประชากรของชุมชนแห่งหนึ่งว่า
“เมื่อถึงวันที่ 31 ธันวาคม 2571 ชุมชนแห่งนี้จะมีจำนวนประชากร 7,000 คน
หลังจากนั้นไปจนถึงวันที่ 31 ธันวาคม 2583 จำนวนประชากรจะลดลงใน
อัตราร้อยละ 0.2% ต่อปี
ถ้าข้อคาดการณ์นี้เป็นจริง แล้ววันที่ 31 ธันวาคม 2583
ชุมชนแห่งนี้จะมีประชากรอยู่กี่คน","1. 7,000(0.2)^12 คน
2. 7,000(1 - 0.2)^12 คน
3. 7,000(1-0.2)^12 คน
4. 7,000(1 - 2)^13 คน
5. 7,000(1-0.002)^13 คน","3. 7,000(1-0.2)^12 คน",TRUE,TRUE,TRUE
2020,13,"กมลาต้องการระบายสีภาพดาวที่แบ่งอกเป็น 5 ส่วน ดังรูป

ถ้ากมลาจะระบายสีภาพข้างต้นด้วยสีไม้กล่องหนึ่งที่มีสีที่ต่างกันอยู่10 สี โดยเลือกสีไประบายส่วนละหนึ่งสีจนครบทุกส่วน และไม่ใช้สีซ้ากันแล้วจำนวนวิธีในการระบายสีที่ต่างกันมีทั้งหมดกี่วิธี","1. 10!/5!5! วิธี
2. 10!/5! วิธี
3. 10! วิธี
4. 10^5 วิธี
5. 5^10 วิธี",2. 10!/5! วิธี,FALSE,TRUE,TRUE
2020,14,"บริษัทจำหน่ายเครื่องใช้ไฟฟ้าแจกรางวัลท่องเที่ยว 1 จังหวัด จาก 3 จังหวัด
คือ เชียงใหม่ อุบลราชธานี และ ภูเก็ต โดยให้ลูกค้ากรอกแบบฟอร์มลุ้นรางวัล
ที่แนบมากับเครื่องใช้ไฟฟ้า พร้อมทั้งเลือกจังหวัดที่ต้องการเพียง 1 จังหวัด
เมื่อครบกำหนดวันที่ระบุ พนักงานรวบรวมแบบฟอร์มที่ลูกค้าส่งเข้ามา
ได้ข้อมูลดังตาราง

  เครื่องใช้ไฟฟ้า                           จำนวนแบบฟอร์มที่ระบุจังหวัด(ใบ)

                                              เชียงใหม่          อุบลราชธานี          ภูเก็ต
  โทรทัศน์                                    5                      3                       1
   ตู้เย็น                                        3                      8                       9
   เครื่องซักผ้า                              1                      5                      10
ถ้าสุ่มแบบฟอร์มขึ้นมา 1 ใบ เพื่อให้รางวัล แล้วความน่าจะเป็นที่จะได้แบบฟอร์ม
จากการซื้อตู้เย็นที่ระบุจังหวัดเชียงใหม่หรือจังหวัดภูเก็ตเท่ากับเท่าใด","1. 4/15
2. 1/3
3. 4/9
4. 3/5
5. 2/3",1. 4/15,TRUE,TRUE,TRUE
2020,15,"กล่องทึบใบหนึ่งบรรจุสลากทั้งหมด 20 ใบ
เป็นสลากหมายเลข 1, 2, 3, ... ,  19, 209
ถ้าสุ่มหยิบสลากขึ้นมาพร้อมกัน 2 ใบ
แล้วความน่าจะเป็นที่จะได้สลากที่มีผลต่างของหมายเลขบนสลากเป็น 10เท่ากับเท่าใด","1. 1/40
2. 1/38
3. 1/20
4. 1/19
5. 1/10",4. 1/19,TRUE,TRUE,TRUE
2020,16,"ร้านขนมแห่งหนึ่งขายเค้ก 8 ชนิด เป็นเค้กผลไม้ 4 ชนิด และ เค้กอื่นๆ 4 ชนิด
โดยจัดแสดงเค้กชนิดละ 1 ชิ้น ในตู้กระจกสองชั้น
ชั้นบนวางเค้กเป็นแถวได้ 4 ชนิด และ ชั้นล่างวางเค้กเป็นแถวได้ 4 ชนิด
ผู้จัดการต้องการให้พนักงานจัดแสดงเค้กในตู้ โดยให้วางเค้กผลไม้ไว้ที่ชั้นบน
และวางเค้กอื่นๆ ไว้ที่ชั้นล่าง
ถ้าพนักงานจัดแสดงเค้กอย่างสุ่ม แล้วความน่าจะเป็นที่พนักงานจะจัดแสดงเค้กได้
ตรงตามที่ผู้จัดการต้องการเท่ากับเท่าใด","1. 1/840
2. 1/420
3. 1/70
4. 1/48
5. 1/35",3. 1/70,TRUE,TRUE,TRUE
2020,17,"ร้านไอศกรีมแห่งหนึ่งขายไอศกรีมรสวนิลา รสช็อกโกแลตและรสผลไม้
ซึ่งมี 4 รส ได้แก่ รสทุเรียน รสมะม่วง รสส้ม และ รสมังคุด
ผลการสำรวจรสไอศกรีมที่ลูกค้าชอบ โดยให้ลูกค้าแต่ละคนเลือก
รสไอศกรีมที่ชอบเพียง 1 รสเท่านั้น แสดงด้วยแผนภูมิดังนี้
รสวนิลา 30%
รสช็อกโกแลต 50% 
รสผลไม้  (รสทุเรียน 15 คน)
              (รสมะม่วง 12 คน)
              (รสส้ม        10 คน)
              (รสมังคุด     23 คน)
จากแผนภูมิ มีลูกค้าเข้าร่วมการสำรวจในครั้งนี้ทั้งหมดกี่คน ","1. 140 คน
2. 220 คน
3. 240 คน
4. 300 คน
5. 600 คน",4. 300 คน,TRUE,TRUE,TRUE
2020,18,"การสำรวจกิจกรรมของนักเรียนกลุ่มหนึ่ง เป็นเวลา 4 เดือน ได้ผลการสำรวจดังนี้


พิจารณาข้อความต่อไปนี้
ก) จำนวนนักเรียนที่อ่านหนังสือในเดือนที่ 3 เป็นสามเท่าของเดือนที่ 2
ข) กิจกรรมที่มีจำนวนนักเรียนลดลงมากที่สุดในเดือนที่ 4 เมื่อเทียบกับ
           เดือนที่ 1 คือ กิจกรรมถ่ายภาพ
ค) ในเดือนที่ 1 มีนักเรียนดูภาพยนตร์น้อยกว่า 10 คน
แต่ในเดือนที่ 2 มีนักเรียนดูภาพยนตร์มากกว่า 15 คน
จากข้อความ ก) ข) และ ค) ข้างต้น ข้อใดถูกต้อง","1. ข้อความ ก) ถูกต้องเพียงข้อเดียวเท่านั้น
2. ข้อความ ข) ถูกต้องเพียงข้อเดียวเท่านั้น
3. ข้อความ ค) ถูกต้องเพียงข้อเดียวเท่านั้น
4. ข้อความ ก) และ ค) ถูกต้องเท่านั้น
5. ข้อความ ข) และ ค) ถูกต้องเท่านั้น",5. ข้อความ ข) และ ค) ถูกต้องเท่านั้น,FALSE,TRUE,TRUE
2020,19,"การสอบครั้งหนึ่งมีข้อสอบ 8 ข้อ ข้อละ 5 คะแนน
คะแนนสอบของนักเรียน 11 คน แสดงด้วยแผนภาพลำต้นและใบดังนี้
1 l      0        5       5  
2 l      0       5
3 l       0      0         0       0    5    5
การเปรียบเทียบค่าเฉลี่ยเลขคณิต มัธยฐาน และฐานนิยม ของข้อมูลชุดนี้
ตรงกับข้อใด","1. ค่าเฉลี่ยเลขคณิต =  มัธยฐาน = ฐานนิยม
2. ค่าเฉลี่ยเลขคณิต < มัธยฐาน < ฐานนิยม
3. ค่าเฉลี่ยเลขคณิต < ฐานนิยม และ ฐานนิยม = มัธยฐาน
4. มัธยฐาน < ค่าเฉลี่ยเลขคณิต และ ฐานนิยม = มัธยฐาน
5.  ฐานนิยม < มัธยฐาน < ค่าเฉลี่ยเลขคณิต",3. ค่าเฉลี่ยเลขคณิต < ฐานนิยม และ ฐานนิยม = มัธยฐาน,TRUE,TRUE,TRUE
2020,20,"แผนภาพกล่องของคะแนนสอบ 2 วิชา ของนักเรียนกลุ่มหนึ่ง ดังนี้

ข้อใดถูกต้อง","1. พิสัยของคะแนนสอบวิชาที่ 2 เท่ากับ 3 คะแนน
2. มัธยฐานของคะแนนสอบวิชาที่ 1 เท่ากับ 12.5 คะแนน
3. ควอร์ไทล์ที่ 1 ของคะแนนสอบวิชาที่ 1 เท่ากับ 12 คะแนน
4. เปอร์เซ็นไทล์ที่ 75 ของคะแนนสอบวิชาที่ 2 เท่ากับ 16 คะแนน
5. พิสัยระหว่างควอร์ไทล์ของคะแนนสอบวิชาที่ 1 มากกว่าวิชาที่ 2",5. พิสัยระหว่างควอร์ไทล์ของคะแนนสอบวิชาที่ 1 มากกว่าวิชาที่ 2,FALSE,TRUE,TRUE
2020,21,"แผนภาพกล่่องแสดงอายุพนักงาน (ปี) ขงแผนกหนึ่งที่มีพนักงาน 9 คน ณ วันที่ 1 มกราคม 2562 ดังนี้

ณ วันที่ 1 มกราคม 2562 พนักงานทั้งเก้าคนยังคงทำงานอยู่","1.
2.
3.
4.
5.",1.,FALSE,FALSE,TRUE
2020,22,"ข้อมูลเชิงปริมาณ จำนวน 11 ตัว ที่แสดงด้วยแผนภาพจุดในข้อใด
มีพิสัยระหว่างควอร์ไทล์น้อยที่สุด

","                             ๐         ๐
       ๐    ๐   ๐    ๐   ๐    ๐   ๐          ๐    ๐
1. ---1---2---3---4---5---6---7---8---9---10

                              ๐   ๐               ๐
       ๐    ๐         ๐    ๐   ๐   ๐          ๐    ๐
2. ---1---2---3---4---5---6---7---8---9---10

                                   ๐
        ๐   ๐   ๐    ๐    ๐   ๐   ๐    ๐    ๐    ๐
3. ---1---2---3---4---5---6---7---8---9---10

        ๐                         ๐               ๐
        ๐   ๐         ๐    ๐   ๐         ๐    ๐    ๐
4. ---1---2---3---4---5---6---7---8---9---10

       ๐    ๐                                     ๐    ๐
       ๐    ๐   ๐               ๐         ๐    ๐    ๐
5. ---1---2---3---4---5---6---7---8---9---10","                             ๐         ๐
       ๐    ๐   ๐    ๐   ๐    ๐   ๐          ๐    ๐
1. ---1---2---3---4---5---6---7---8---9---10",TRUE,TRUE,TRUE
2020,23,"กำหนดข้อมูลจากกลุ่มตัวอย่าง 3 ชุด ดังนี้
                                                                           8
ข้อมูลชุดที่ 1 ประกอบด้วย X1, X2, X3, ..., X8 และ Σ (xi - x̄)² = 140
                                                                        i=1
                                                                          10        _
ข้อมูลชุดที่ 2 ประกอบด้วย y1, y2, y3, ..., y10 และ Σ (y1 - y)² = 108
                                                                          i=1
                                                               15                 _
ข้อมูลชุดที่ 3 ประกอบด้วย z1, z2, z3, ..., z15 และ Σ (zi - z)² = 112

           _   _  
เมื่อ x̄ , y , z    เป็นค่าเฉลี่ยเลขคณิตของข้อมูลชุดที่ 1, 2 และ 3 ตามลำดับ
                 _            _
ถ้า x̄  = √5, y  = √2, z = 1
แล้วข้อใดเป็นการเรียงลำดับชุดข้อมูลที่มีการกระจายจากน้อยไปมาก","1. ข้อมูลชุดที่ 1, ข้อมูลชุดที่ 2, ข้อมูลชุดที่ 3
2. ข้อมูลชุดที่ 2, ข้อมูลชุดที่ 1, ข้อมูลชุดที่ 3
3. ข้อมูลชุดที่ 2, ข้อมูลชุดที่ 3, ข้อมูลชุดที่ 1
4. ข้อมูลชุดที่ 3, ข้อมูลชุดที่ 1, ข้อมูลชุดที่ 2
5. ข้อมูลชุดที่ 3, ข้อมูลชุดที่ 2, ข้อมูลชุดที่ 1","1. ข้อมูลชุดที่ 1, ข้อมูลชุดที่ 2, ข้อมูลชุดที่ 3",TRUE,TRUE,TRUE
2020,24,"ข้อมูลเชิงปริมาณ ชุดหนึ่งได้จากกลุ่มตัวอย่าง 10 ตัว ดังนี้
90, 110, 120, 120, 120, 130, 130, 140, 140, 150
ถ้าเพิ่มตัวอย่างอีกหนึ่งตัว ซึ่งมีข้อมูลเป็น 125
แล้วค่าวัดทางสถิติในข้อใดจะเปลี่ยนไป","1. พิสัย
2. ฐานนิยม
3. มัธยฐาน
4. ค่าเฉลี่ยเลขคณิต
5. ส่วนเบี่ยงเบนมาตรฐาน",5. ส่วนเบี่ยงเบนมาตรฐาน,TRUE,TRUE,TRUE
2020,25,"ตอนที่2 แบบระบายตัวเลขที่เป็นคำ ตอบ จำนวน 8 ข้อ (ข้อ 25–32)
ข้อละ 3.125 คะแนน รวม 25 คะแนน

ผลการสำรวจการเลือกคณะเข้าศึกษาต่อของนักเรียนกลุ่มหนึ่งจำนวน 50 คน
พบว่า
1) มีนักเรียนเลือกทั้งคณะรัฐศาสตร์และคณะนิเทศศาสตร์ 10 คน
2) มีนักเรียนเลือกคณะรัฐศาสตร์แต่ไม่เลือกคณะนิเทศศาสตร์ 8 คน
3) มีนักเรียนเลือกคณะอื่นๆ ที่ไม่ใช่คณะรัฐศาสตร์ และ ที่ไม่ใช่คณะนิเทศศาสตร์
    12 คน
มีนักเรียนเลือกคณะนิเทศศาสตร์กี่คน",,30,TRUE,FALSE,TRUE
2020,26,"บริษัทรับเหมาสร้างอาคารแห่งหนึ่งทำ สัญญากับผู้ว่าจ้าง
โดยระบุค่าปรับเป็นรายวันในกรณีที่บริษัทส่งมอบอาคารให้กับผู้ว่าจ้างล่าช้า ดังนี้
ส่งมอบอาคารล่าช้าหนึ่งวัน คิดค่าปรับ 40,000 บาท
ส่งมอบอาคารล่าช้าสองวัน คิดค่าปรับ 40,000 + 50,000 บาท
ส่งมอบอาคารล่าช้าสามวัน คิดค่าปรับ 40,000 + 50,000 + 60,000 บาท
เป็นเช่นนี้ไปเรื่อย ๆ จนกว่าจะส่งมอบอาคาร
ถ้าบริษัทส่งมอบอาคารภายในเวลาที่กำหนด จะได้กำไร 5,000,000 บาท
แต่หลังจากส่งมอบอาคาร พบว่า บริษัทได้กำไร 3,530,000 บาท
แล้วบริษัทส่งมอบอาคารล่าช้าไปกี่วัน",,14,TRUE,FALSE,TRUE
2020,27,"ภัทร์ฝากเงินที่สหกรณ์ออมทรัพย์จำนวน 30,000 บาท
โดยสหกรณ์ให้ดอกเบี้ย 3% ต่อปี และจ่ายดอกเบี้ยทบต้นทุก 4 เดือน
ถ้าภัทร์ฝากเงินจำนวนนี้เป็นเวลา 8 เดือน แล้วภัทร์จะมีเงินฝากเพิ่มขึ้นกี่บาท",,603,TRUE,FALSE,TRUE
2020,28,"ชื่นใจขายกระเป๋าผ้าทางออนไลน์ และได้ทำการสำรวจตลาด พบว่า
สมการแสดงความสัมพันธ์ระหว่างราคากระเป๋ากับจำนวนกระเป๋าที่ขายได้
ในหนึ่งสัปดาห์ คือ Q(x) = 140 - 2x
เมื่อ x แทน ราคากระเป๋าหนึ่งใบ (บาท)
และ Q(x) แทน จำนวนกระเป๋าที่ขายได้ (ใบ)
ถ้าชื่นใจต้องการขายกระเป๋าให้ได้เงินมากที่สุด
แล้วชื่นใจต้องขายกระเป๋าใบละกี่บาท",,35,TRUE,FALSE,TRUE
2020,29,"ต้องการสร้างจำนวนนับที่น้อยกว่า 150 จากเลขโดด 1, 2, 3, 4 และ 5
โดยที่เลขโดดในแต่ละหลักไม่ซ้ำกัน จะสร้างได้ทั้งหมดจำนวน",,34,TRUE,FALSE,TRUE
2020,30,"ผลการสำรวจจำนวนหนังสืออ่านเล่นของนักเรียนกลุ่มหนึ่งจำนวน 50 คน ดังนี้
จำนวนหนังสืออ่านเล่น (เล่ม)   จำนวนนักเรียน (คน)
                    4                                 6
                    5                                 8
                    6                                16
                    7                                20
ค่าเฉลี่ยเลขคณิตของจำนวนหนังสืออ่านเล่นของนักเรียนกลุ่มนี้เท่ากับกี่เล่ม",,6,TRUE,FALSE,TRUE
2020,31,"ข้อมูลชุดหนึ่งประกอบด้วยจำนวนเต็มบวก 5 จำนวน
โดยที่มีมัธยฐานเท่ากับ 6 และพิสัยเท่ากับ 7
ถ้ามัธยฐานมากกว่าฐานนิยมอยู่ 1
แล้วค่าที่มากที่สุดของข้อมูลชุดนี้เท่ากับเท่าใด",,12,TRUE,FALSE,TRUE
2020,32,"นาตาชาบันทึกความดันโลหิต (มีหน่วยเป็นมิลลิเมตรปรอท) ในขณะที่หัวใจบีบตัว
วันละหนึ่งครั้ง เป็นเวลา 15 วัน โดยเรียงข้อมูลจากน้อยไปมาก ดังนี้
116, 117, 120, 120, 121, 123, 124, 124,
125, 128, 129, 130, 133, 149, 151
ถ้าค่านอกเกณฑ์คือข้อมูลที่มีค่าน้อยกว่า Q1 - 1.5 (Q3 - Q1) หรือ
ข้อมูลที่มีค่ามากกว่า Q3 + 1.5 (Q3 - Q1) 
แล้วผลบวกของค่านอกเกณฑ์ทั้งหมดของข้อมูลข้างต้นเท่ากับเท่าใด",,300,TRUE,FALSE,TRUE
2019,1,จำนวนในข้อใดเท่ากับ (-5)^4/5,"1. -^5√5^4
2. -^4√5^5
3. ^4√5^5 
4. (1/5) ^-4/5
5.(1/5)^5/4
",4. (1/5) ^-4/5,TRUE,TRUE,TRUE
2019,2,(3^-1 - 3) / (√3 - √3^-1) เท่ากับเท่าใด,"1. -4√3 
2. -4√3 / 3
3. -√3
4. 4√3 / 3 
5. 4√3",2. -4√3 / 3,TRUE,TRUE,TRUE
2019,3,"กำหนดให้ a และ b เป็นจำนวนจริง โดยที่ b ≠ 0
ถ้า | a | + | b | = 20 11²| | | และ a /b = -2/3
แล้ว | a | + | b |  มีค่าเท่ากับเท่าใด","1. 4 
2. 6 
3. 8
4.12
5 20",1. 4,TRUE,TRUE,TRUE
2019,4,"กำหนดให้ a เป็นจำนวนจริงใดๆ
ข้อใดถูกต้อง","1. -2 | a + 2 | - | 2a - 4 |
2. √a² + 9 = √a² + 3
3. 2√a² + 1 = 2√a² + 2
4. ( a - 2 )² = a² - 4
5. ( 2a - 4)³ = 8 ( a - 2 )³",5. ( 2a - 4)³ = 8 ( a - 2 )³,TRUE,TRUE,TRUE
2019,5,"กำหนดให้ a, b, s และ t เป็นจำนวนจริงบวก โดยที่ a < b และ s < t
พิจารณาข้อความต่อไปนี้
ก) as < bt
ข) ( a / t-s ) < ( b /s - t )  
ค) ( s - 1/a ) < ( t - 1/b ) 
  
จากข้อความ ก) ข) และ ค) ข้างต้น ข้อใดถูกต้อง","1. ข้อความ ก) ถูกต้องเพียงข้อเดียวเท่านั้น
2. ข้อความ ข) ถูกต้องเพียงข้อเดียวเท่านั้น
3. ข้อความ ค) ถูกต้องเพียงข้อเดียวเท่านั้น
4. ข้อความ ก) และ ข) ถูกต้องเท่านั้น
5. ข้อความ ก) และ ค) ถูกต้องเท่านั้น",5. ข้อความ ก) และ ค) ถูกต้องเท่านั้น,TRUE,TRUE,TRUE
2019,6,"โต้งยืนอยู่ระหว่างเสาธงและเสาไฟฟ้า โดยยืนอยู่บนพื้นดินในแนวเส้นตรงเดียวกันกับ
โคนเสาธงและโคนเสาไฟฟ้า
จุดที่โต้งยืนห่างจากโคนเสาธง 10 เมตร และห่างจากโคนเสาไฟฟ้า 16 เมตร
โต้งมองเห็นยอดเสาธงและยอดเสาไฟฟ้า เป็นมุมเงย 60 องศา เท่ากัน ดังรูป

เสาไฟฟ้าสูงกว่าเสาธงกี่เมตร","1. 6√3 เมตร
2. 6 เมตร
3. 3√3 เมตร
4. 3 เมตร
5. 2√3 เมตร
",1. 6√3 เมตร,FALSE,TRUE,TRUE
2019,7,"                                                   __
ที่ดินรูปสามเหลี่ยมมุมฉาก ABC มี AC ยาว 60 เมตร
ต้องการแบ่งที่ดินแปลงนี้ออกเป็นสองส่วน โดยทำ รั้วกั้นจากจุด A ไปยังจุด P
              __
ซึ่งอยู่บน BC ดังรูป

รั้วกั้นจากจุด A ไปยังจุด P ยาวกี่เมตร","1. 30 เมตร
2. 45 เมตร
3. 30√2 เมตร
4 30√3 เมตร
5 30√6 เมตร
",3. 30√2 เมตร,FALSE,TRUE,TRUE
2019,8,"กำหนดให้ U = { -2, -1, 0, 1, 2, ..., 7, 8, 9 } 
                A = { x | x ∈ ∪ และ x เป็นจำนวนคี่ }
และ          B = { x | x ∈ ∪ และ x² < 9 }

A -  B คือเซตในข้อใด","1. { -1, 1 }
2. { 1, 3 }
3. { 5, 7, 9 }
4. { 3, 5, 7, 9 }
5. { 1, 3, 5, 7, 9 }","4. { 3, 5, 7, 9 }",TRUE,TRUE,TRUE
2019,9,"กำหนดให้ a เป็นจำนวนจริง
และ S = { x | x - 2 = a เมื่อ | a - 1 | = 2 }
เซต S เป็นสับเซตของเซตในข้อใด","1. { 1, 3, 5, 7 }
2. { 3, 4, 5, 6 }
3. { -2, 1, 2, 3 }
4. { -2, -1, 1, 2 }
5. { -5, -2, 2, 5 }","1. { 1, 3, 5, 7 }",TRUE,TRUE,TRUE
2019,10,"จากการสำรวจลูกค้าที่ดื่มกาแฟ จำนวน 125 คน ของร้านกาแฟแห่งหนึ่ง
เกี่ยวกับการใส่น้ำตาล นมสด หรือครีมเทียมในกาแฟ พบว่า
1) มีลูกค้าที่ใส่น้ำตาลในกาแฟ 40 คน
2) มีลูกค้าที่ใส่ครีมเทียมในกาแฟ 50 คน
3) มีลูกค้าที่ใส่น้ำตาลและครีมเทียมในกาแฟ 20 คน
4) มีลูกค้าที่ใส่น้ำตาลและนมสดในกาแฟ 5 คน
5) ไม่มีลูกค้าที่ใส่นมสดและครีมเทียมในกาแฟ
6) มีลูกค้าที่ไม่ใส่น้ำตาล ไม่ใส่นมสด และไม่ใส่ครีมเทียมในกาแฟ 25 คน

ในการสำรวจนี้ มีลูกค้าที่ใส่นมสดในกาแฟเพียงอย่างเดียวกี่คน","1. 10 คน
2. 15 คน
3. 20 คน
4. 30 คน
5. 35 คน",4. 30 คน,TRUE,TRUE,TRUE
